mode: set
lms/backend/controllers/admin.go:68.30,72.13 3 0
lms/backend/controllers/admin.go:72.13,75.3 2 0
lms/backend/controllers/admin.go:78.2,79.111 2 0
lms/backend/controllers/admin.go:79.111,82.3 2 0
lms/backend/controllers/admin.go:85.2,86.53 2 0
lms/backend/controllers/admin.go:86.53,89.3 2 0
lms/backend/controllers/admin.go:91.2,92.131 2 0
lms/backend/controllers/admin.go:92.131,96.67 3 0
lms/backend/controllers/admin.go:96.67,99.4 2 0
lms/backend/controllers/admin.go:100.3,101.9 2 0
lms/backend/controllers/admin.go:105.2,106.99 2 0
lms/backend/controllers/admin.go:106.99,109.3 2 0
lms/backend/controllers/admin.go:112.2,125.63 3 0
lms/backend/controllers/admin.go:125.63,128.3 2 0
lms/backend/controllers/admin.go:131.2,131.106 1 0
lms/backend/controllers/admin.go:133.33,139.83 3 0
lms/backend/controllers/admin.go:139.83,144.3 2 0
lms/backend/controllers/admin.go:146.2,149.83 3 0
lms/backend/controllers/admin.go:149.83,152.3 2 0
lms/backend/controllers/admin.go:154.2,154.30 1 0
lms/backend/controllers/admin.go:154.30,159.3 2 0
lms/backend/controllers/admin.go:161.2,161.31 1 0
lms/backend/controllers/admin.go:161.31,164.3 2 0
lms/backend/controllers/admin.go:171.2,175.63 4 0
lms/backend/controllers/admin.go:186.33,192.83 3 0
lms/backend/controllers/admin.go:192.83,197.3 2 0
lms/backend/controllers/admin.go:198.2,204.50 4 0
lms/backend/controllers/admin.go:204.50,207.3 2 0
lms/backend/controllers/admin.go:209.2,210.83 2 0
lms/backend/controllers/admin.go:210.83,213.3 2 0
lms/backend/controllers/admin.go:216.2,216.29 1 0
lms/backend/controllers/admin.go:216.29,221.3 2 0
lms/backend/controllers/admin.go:223.2,228.29 6 0
lms/backend/controllers/admin.go:231.35,234.13 2 0
lms/backend/controllers/admin.go:234.13,237.3 2 0
lms/backend/controllers/admin.go:240.2,241.111 2 0
lms/backend/controllers/admin.go:241.111,244.3 2 0
lms/backend/controllers/admin.go:247.2,252.37 2 0
lms/backend/controllers/admin.go:252.37,258.3 2 0
lms/backend/controllers/admin.go:260.2,262.4 1 0
lms/backend/controllers/admin.go:271.37,276.111 3 0
lms/backend/controllers/admin.go:276.111,279.3 2 0
lms/backend/controllers/admin.go:282.2,286.90 3 0
lms/backend/controllers/admin.go:286.90,292.3 2 0
lms/backend/controllers/admin.go:294.2,298.116 3 0
lms/backend/controllers/admin.go:298.116,304.3 2 0
lms/backend/controllers/admin.go:305.2,307.99 2 0
lms/backend/controllers/admin.go:307.99,313.3 2 0
lms/backend/controllers/admin.go:315.2,317.36 2 0
lms/backend/controllers/admin.go:317.36,322.3 2 0
lms/backend/controllers/admin.go:324.2,325.130 2 0
lms/backend/controllers/admin.go:325.130,331.3 2 0
lms/backend/controllers/admin.go:338.2,340.53 2 0
lms/backend/controllers/admin.go:340.53,345.3 2 0
lms/backend/controllers/admin.go:348.2,353.64 5 0
lms/backend/controllers/admin.go:353.64,359.3 2 0
lms/backend/controllers/admin.go:361.2,380.4 4 0
lms/backend/controllers/admin.go:383.36,388.111 3 0
lms/backend/controllers/admin.go:388.111,391.3 2 0
lms/backend/controllers/admin.go:394.2,399.90 3 0
lms/backend/controllers/admin.go:399.90,405.3 2 0
lms/backend/controllers/admin.go:407.2,412.115 3 0
lms/backend/controllers/admin.go:412.115,418.3 2 0
lms/backend/controllers/admin.go:423.2,425.53 2 0
lms/backend/controllers/admin.go:425.53,430.3 2 0
lms/backend/controllers/admin.go:433.2,444.4 7 0
lms/backend/controllers/admin.go:466.34,473.81 4 0
lms/backend/controllers/admin.go:473.81,479.3 2 0
lms/backend/controllers/admin.go:482.2,491.92 2 0
lms/backend/controllers/admin.go:491.92,497.3 2 0
lms/backend/controllers/admin.go:499.2,501.4 1 0
lms/backend/controllers/admin.go:503.32,510.91 4 0
lms/backend/controllers/admin.go:510.91,515.3 2 0
lms/backend/controllers/admin.go:517.2,518.92 2 0
lms/backend/controllers/admin.go:518.92,523.3 2 0
lms/backend/controllers/admin.go:525.2,528.31 3 0
lms/backend/controllers/admin.go:528.31,533.3 2 0
lms/backend/controllers/admin.go:535.2,537.89 2 0
lms/backend/controllers/admin.go:537.89,543.3 2 0
lms/backend/controllers/admin.go:544.2,546.4 1 0
lms/backend/controllers/auth.go:15.33,18.56 2 1
lms/backend/controllers/auth.go:18.56,23.3 2 0
lms/backend/controllers/auth.go:24.2,30.27 4 1
lms/backend/controllers/auth.go:30.27,35.3 2 0
lms/backend/controllers/auth.go:36.2,46.45 3 1
lms/backend/controllers/auth.go:49.32,52.49 2 1
lms/backend/controllers/auth.go:52.49,58.3 2 0
lms/backend/controllers/auth.go:59.2,64.23 3 1
lms/backend/controllers/auth.go:64.23,69.3 2 1
